22215,22440, 0:12:20.5,0:12:28
28644,29550, 0:15:54.8,0:16:25
30360,30660, 0:16:52,0:17:02
32010,32850, 0:17:47,0:18:15
43320,44190, 0:24:04,0:24:33
75114,75480, 0:41:43.8,0:41:56 
78480,78600, 0:43:36,0:43:40
83250,83400, 0:46:15,0:46:20
87780,87900, 0:48:46,0:48:50
103410,103560, 0:57:27,0:57:32
111300,111450, 1:01:50,1:01:55
142950,143100, 1:19:25,1:19:30
144300,145200, 1:20:10,1:20:40
173400,173550, 1:36:20,1:36:25
177570,177705, 1:38:39,1:38:43.5
181140,181785, 1:40:38,1:40:59.5
186840,186945, 1:43:48,1:43:51.5
190875,191100, 1:46:02.5,1:46:10
197490,197670, 1:49:43,1:49:49
202950,203634, 1:52:45,1:53:07.8
245220,245394, 2:16:14,2:16:19.8
252180,252780, 2:20:06,2:20:26
257010,257130, 2:22:47,2:22:51
260250,260490, 2:24:35,2:24:43
265800,266130, 2:27:40,2:27:51
269430,269760, 2:29:41,2:29:52 
273270,273480, 2:31:49,2:31:56
281220,281400, 2:36:14,2:36:20
290490,290625, 2:41:23,2:41:27.5
299595,299790, 2:46:26.5,2:46:33
321750,321990, 2:58:45,2:58:53
360090,360660, 3:20:03,3:20:22
