2280,2400, 0:01:16,0:01:20
6510,6720, 0:03:37,0:03:44
27180,27390, 0:15:06,0:15:13
29670,30000, 0:16:29,0:16:40
31380,31920, 0:17:26,0:17:44
86280,86640, 0:47:56,0:48:08
91530,91860, 0:50:51,0:51:02
100890,101040, 0:56:03,0:56:08
105090,105720, 0:58:23,0:58:44
111090,111210, 1:01:43,1:01:47
113070,113340, 1:02:49,1:02:58
145140,145350, 1:20:38,1:20:45
169410,169560, 1:34:07,1:34:12
173865,174000, 1:36:35.5,1:36:40
194970,195300, 1:48:19,1:48:30
198990,199170, 1:50:33,1:50:39
201900,202260, 1:52:10,1:52:22
207930,208380, 1:55:31,1:55:46
213150,213390, 1:58:25,1:58:33
215670,216270, 1:59:49,2:00:09
221160,221310, 2:02:52,2:02:57
226020,226380, 2:05:34,2:05:46
239400,239640, 2:13:00,2:13:08
242820,243060, 2:14:54,2:15:02
244044,244500, 2:15:34.8,2:15:50
245970,246270, 2:16:39,2:16:49
259830,260700, 2:24:21,2:24:50
276300,276600, 2:33:30,2:33:40
290745,291000, 2:41:31.5,2:41:40
297030,297180, 2:45:01,2:45:06
300960,301260, 2:47:12,2:47:22
310080,310230, 2:52:16,2:52:21
319740,319890, 2:57:38,2:57:43
328815,329850, 3:02:40.5,3:03:15
