48510,48810, 0:26:57,0:27:07
52470,52770, 0:29:09,0:29:19
58200,58350, 0:32:20,0:32:25
61350,61980, 0:34:05,0:34:26
65520,66030, 0:36:24,0:36:41
72270,72600, 0:40:09,0:40:20
78660,79050, 0:43:42,0:43:55
84960,85500, 0:47:12,0:47:30
89130,89340, 0:49:31,0:49:38
97920,98100, 0:54:24,0:54:30
108810,108990, 1:00:27,1:00:33
138150,139200, 1:16:45,1:17:20
189420,190290, 1:45:14,1:45:43
194610,194820, 1:48:07,1:48:14
204120,204930, 1:53:24,1:53:51
243300,244140, 2:15:10,2:15:38
297420,297810, 2:45:14,2:45:27
312330,313080, 2:53:31,2:53:56
323310,323490, 2:59:37,2:59:43
339240,339540, 3:08:28,3:08:38
340560,340740, 3:09:12,3:09:18
345240,345390, 3:11:48,3:11:53
351180,351780, 3:15:06,3:15:26
