21810,21939, 0:12:07,0:12:11.3
23241,23457, 0:12:54.7,0:13:01.9
27975,28284, 0:15:32.5,0:15:42.8
85929,86280, 0:47:44.3,0:47:56
95805,96120, 0:53:13.5,0:53:24
100449,100710, 0:55:48.3,0:55:57
121710,121860, 1:07:37,1:07:42
137280,137430, 1:16:16,1:16:21
148530,148890, 1:22:31,1:22:43
224580,225069, 2:04:46,2:05:02.3
246660,246915, 2:17:02,2:17:10.5
253440,253680, 2:20:48,2:20:56
256380,256500, 2:22:26,2:22:30
262170,262650, 2:25:39,2:25:55
270120,270450, 2:30:04,2:30:15
285420,285540, 2:38:34,2:38:38
290430,290544, 2:41:21,2:41:24.8
294360,294750, 2:43:32,2:43:45
302682,302880, 2:48:09.4,2:48:16
306600,306732, 2:50:20,2:50:24.4
310704,311100, 2:52:36.8,2:52:50
