5340,5460, 0:02:58,0:03:02
7980,8280, 0:04:26,0:04:36
10080,10230, 0:05:36,0:05:41
15390,15720, 0:08:33,0:08:44
16680,16950, 0:09:16,0:09:25
36780,36990, 0:20:26,0:20:33
39510,39660, 0:21:57,0:22:02
40920,41040, 0:22:44,0:22:48
43380,43500, 0:24:06,0:24:10
51900,52080, 0:28:50,0:28:56
58500,59310, 0:32:30,0:32:57
102600,102900, 0:57:00,0:57:10
105720,105990, 0:58:44,0:58:53
106020,106110, 0:58:54,0:58:57
107100,107370, 0:59:30,0:59:39
153810,154950, 1:25:27,1:26:05
157350,157590, 1:27:25,1:27:33
160770,161040, 1:29:19,1:29:28
170280,170520, 1:34:36,1:34:44
172200,172650, 1:35:40,1:35:55
173550,173700, 1:36:25,1:36:30
173880,173940, 1:36:36,1:36:38
180270,180450, 1:40:09,1:40:15
190920,191400, 1:46:04,1:46:20
226590,226830, 2:05:53,2:06:01
230280,230550, 2:07:56,2:08:05
233550,233760, 2:09:45,2:09:52
240300,240780, 2:13:30,2:13:46
243630,243780, 2:15:21,2:15:26
249600,247920, 2:18:40,2:17:44
251190,251490, 2:19:33,2:19:43
255480,255840, 2:21:56,2:22:08
261150,262260, 2:25:05,2:25:42
275160,275250, 2:32:52,2:32:55
276900,277200, 2:33:50,2:34:00
278370,278610, 2:34:39,2:34:47
282210,282330, 2:36:47,2:36:51
285720,286020, 2:38:44,2:38:54
289740,289860, 2:40:58,2:41:02
294270,294480, 2:43:29,2:43:36
295200,295440, 2:44:00,2:44:08
296700,297180, 2:44:50,2:45:06
298740,299400, 2:45:58,2:46:20
310620,310770, 2:52:34,2:52:39
312750,313020, 2:53:45,2:53:54
317400,317760, 2:56:20,2:56:32
320640,321300, 2:58:08,2:58:30
