65820,66720, 0:36:34,0:37:04
99780,99960, 0:55:26,0:55:32
103425,103800, 0:57:27.5,0:57:40
167400,167520, 1:33:00,1:33:04
169740,170130, 1:34:18,1:34:31
192255,192666, 1:46:48.5,1:47:02.2
201030,201180, 1:51:41,1:51:46
202230,202620, 1:52:21,1:52:34
205500,205920, 1:54:10,1:54:24
241320,241494, 2:14:04,2:14:09.8
249552,249750, 2:18:38.4,2:18:45
252150,252960, 2:20:05,2:20:32
264015,264114, 2:26:40.5,2:26:43.8
269370,269631, 2:29:39,2:29:47.7
273864,274380, 2:32:08.8,2:32:26
306825,307050, 2:50:27.5,2:50:35
313455,313830, 2:54:08.5,2:54:21
317952,318870, 2:56:38.4,2:57:09
335130,335400, 3:06:11,3:06:20
342150,342807, 3:10:05,3:10:26.9
343890,344190, 3:11:03,3:11:13
357855,357960, 3:18:48.5,3:18:52
360720,360840, 3:20:24,3:20:28
364770,364920, 3:22:39,3:22:44
370890,371430, 3:26:03,3:26:21
