0:12:20.5,0:12:28
0:15:54.8,0:16:25
0:16:52,0:17:02
0:17:47,0:18:15
0:24:04,0:24:33
0:41:43.8,0:41:56 
0:43:36,0:43:40
0:46:15,0:46:20
0:48:46,0:48:50
0:57:27,0:57:32
1:01:50,1:01:55
1:19:25,1:19:30
1:20:10,1:20:40
1:36:20,1:36:25
1:38:39,1:38:43.5
1:40:38,1:40:59.5
1:43:48,1:43:51.5
1:46:02.5,1:46:10
1:49:43,1:49:49
1:52:45,1:53:07.8
2:16:14,2:16:19.8
2:20:06,2:20:26
2:22:47,2:22:51
2:24:35,2:24:43
2:27:40,2:27:51
2:29:41,2:29:52 
2:31:49,2:31:56
2:36:14,2:36:20
2:41:23,2:41:27.5
2:46:26.5,2:46:33
2:58:45,2:58:53
3:20:03,3:20:22
