0:01:16,0:01:20
0:03:37,0:03:44
0:15:06,0:15:13
0:16:29,0:16:40
0:17:26,0:17:44
0:47:56,0:48:08
0:50:51,0:51:02
0:56:03,0:56:08
0:58:23,0:58:44
1:01:43,1:01:47
1:02:49,1:02:58
1:20:38,1:20:45
1:34:07,1:34:12
1:36:35.5,1:36:40
1:48:19,1:48:30
1:50:33,1:50:39
1:52:10,1:52:22
1:55:31,1:55:46
1:58:25,1:58:33
1:59:49,2:00:09
2:02:52,2:02:57
2:05:34,2:05:46
2:13:00,2:13:08
2:14:54,2:15:02
2:15:34.8,2:15:50
2:16:39,2:16:49
2:24:21,2:24:50
2:33:30,2:33:40
2:41:31.5,2:41:40
2:45:01,2:45:06
2:47:12,2:47:22
2:52:16,2:52:21
2:57:38,2:57:43
3:02:40.5,3:03:15
