35730,35910, 0:19:51,0:19:57
37125,37320, 0:20:37.5,0:20:44
43080,43185, 0:23:56,0:23:59.5
45990,46416, 0:25:33,0:25:47.2
62400,62705, 0:34:40,0:34:50.2
69450,69660, 0:38:35,0:38:42
78105,78270, 0:43:23.5,0:43:29
83880,84363, 0:46:36,0:46:52.1
92280,92340, 0:51:16,0:51:18
92874,93420, 0:51:35.8,0:51:54
95190,95376, 0:52:53,0:52:59.2
98850,99156, 0:54:55,0:55:05.2
100380,100605, 0:55:46,0:55:53.5
110790,111000, 1:01:33,1:01:40
121500,121620, 1:07:30,1:07:34
128874,128943, 1:11:35.8,1:11:38.1
135660,136200, 1:15:22,1:15:40
159729,159894, 1:28:44.3,1:28:49.8
162690,162783, 1:30:23,1:30:26.1
173550,173640, 1:36:25,1:36:28
177120,177210, 1:38:24,1:38:27
183240,183600, 1:41:48,1:42:00
193890,194010, 1:47:43,1:47:47
195975,196230, 1:48:52.5,1:49:01
235710,235800, 2:10:57,2:11:00
240300,240666, 2:13:30,2:13:42.2
242130,242250, 2:14:31,2:14:35
244320,244950, 2:15:44,2:16:05
252270,252606, 2:20:09,2:20:20.2
288150,288234, 2:40:05,2:40:07.8
290730,290940, 2:41:31,2:41:38
293700,294000, 2:43:10,2:43:20
299730,300180, 2:46:31,2:46:46
326850,327330, 3:01:35,3:01:51
330660,331200, 3:03:42,3:04:00
398820,399531, 3:41:34,3:41:57.7
